Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10485919,2,"Sunday, June  3, 2012 21:10:39 UTC",63.2080,-151.3396,1.3,10.50,20,"Central Alaska"
us,b000a632,6,"Sunday, June  3, 2012 21:00:58 UTC",-60.4958,-25.6861,5.3,31.20,46,"South Sandwich Islands region"
ak,10485913,2,"Sunday, June  3, 2012 20:37:26 UTC",61.1589,-151.0128,1.7,54.40,31,"Southern Alaska"
ci,15158809,2,"Sunday, June  3, 2012 20:26:42 UTC",33.6368,-116.6843,1.5,18.00,57,"Southern California"
ak,10485909,3,"Sunday, June  3, 2012 20:23:41 UTC",53.6310,-166.9340,2.8,8.80,26,"Fox Islands, Aleutian Islands, Alaska"
ak,10485910,3,"Sunday, June  3, 2012 20:22:48 UTC",60.0983,-141.2356,1.0,0.00,10,"Southern Alaska"
nc,71795791,2,"Sunday, June  3, 2012 20:18:04 UTC",38.7750,-122.7190,1.2,2.40,37,"Northern California"
nc,71795781,3,"Sunday, June  3, 2012 19:55:51 UTC",36.5930,-121.1278,2.6,11.70,79,"Central California"
nc,71795776,5,"Sunday, June  3, 2012 19:52:41 UTC",40.2862,-124.4818,2.6,21.20,27,"offshore Northern California"
nc,71795766,2,"Sunday, June  3, 2012 19:38:43 UTC",37.4200,-118.5010,1.0,12.10,20,"Central California"
nc,71795761,4,"Sunday, June  3, 2012 19:36:51 UTC",37.9125,-122.0107,1.2,12.90,19,"San Francisco Bay area, California"
ak,10485896,2,"Sunday, June  3, 2012 19:33:57 UTC",63.2689,-151.9667,1.5,6.60,23,"Central Alaska"
us,b000a61j,6,"Sunday, June  3, 2012 19:20:43 UTC",44.9394,11.0229,4.8,6.00,63,"northern Italy"
ak,10485889,2,"Sunday, June  3, 2012 19:14:13 UTC",54.3567,-164.0624,2.3,76.40,16,"Unimak Island region, Alaska"
us,b000a61f,C,"Sunday, June  3, 2012 19:11:25 UTC",-24.1108,-70.1978,4.7,26.20, 0,"Antofagasta, Chile"
ci,15158793,2,"Sunday, June  3, 2012 18:59:07 UTC",35.0497,-117.6525,1.6,0.00,20,"Southern California"
ak,10485871,3,"Sunday, June  3, 2012 18:48:20 UTC",59.5894,-146.3169,2.9,9.80,71,"Gulf of Alaska"
ci,15158777,2,"Sunday, June  3, 2012 18:29:11 UTC",34.9517,-116.7183,1.3,5.20,18,"Southern California"
nc,71795746,3,"Sunday, June  3, 2012 18:22:02 UTC",37.2583,-121.6362,1.6,6.40,61,"Northern California"
hv,60354366,1,"Sunday, June  3, 2012 18:16:15 UTC",19.5040,-155.4187,1.8,9.80,12,"Island of Hawaii, Hawaii"
nn,00378336,9,"Sunday, June  3, 2012 17:56:31 UTC",37.4656,-117.3975,1.1,6.70,16,"Nevada"
uw,60424346,2,"Sunday, June  3, 2012 17:46:20 UTC",44.2910,-124.4693,1.7,0.00,20,"offshore Oregon"
